0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2,1,530101,38.50,66,28,3,3,NaN,2,5,4,4,NaN,NaN,NaN,3,5,45.00,8.40,NaN,NaN,2,2,11300,0,0,2
1,1,534817,39.2,88,20,NaN,NaN,4,1,3,4,2,NaN,NaN,NaN,4,2,50,85,2,2,3,2,2208,0,0,2
2,1,530334,38.30,40,24,1,1,3,1,3,3,1,NaN,NaN,NaN,1,1,33.00,6.70,NaN,NaN,1,2,0,0,0,1
1,9,5290409,39.10,164,84,4,1,6,2,2,4,4,1,2,5.00,3,NaN,48.00,7.20,3,5.30,2,1,2208,0,0,1
2,1,530255,37.30,104,35,NaN,NaN,6,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.00,7.40,NaN,NaN,2,2,4300,0,0,2
2,1,528355,NaN,NaN,NaN,2,1,3,1,2,3,2,2,1,NaN,3,3,NaN,NaN,NaN,NaN,1,2,0,0,0,2
1,1,526802,37.90,48,16,1,1,1,1,3,3,3,1,1,NaN,3,5,37.00,7.00,NaN,NaN,1,1,3124,0,0,2
1,1,529607,NaN,60,NaN,3,NaN,NaN,1,NaN,4,2,2,1,NaN,3,4,44.00,8.30,NaN,NaN,2,1,2208,0,0,2
2,1,530051,NaN,80,36,3,4,3,1,4,4,4,2,1,NaN,3,5,38.00,6.20,NaN,NaN,3,1,3205,0,0,2
2,9,5299629,38.30,90,NaN,1,NaN,1,1,5,3,1,2,1,NaN,3,NaN,40.00,6.20,1,2.20,1,2,0,0,0,1
1,1,528548,38.10,66,12,3,3,5,1,3,3,1,2,1,3.00,2,5,44.00,6.00,2,3.60,1,1,2124,0,0,1
2,1,527927,39.10,72,52,2,NaN,2,1,2,1,2,1,1,NaN,4,4,50.00,7.80,NaN,NaN,1,1,2111,0,0,2
1,1,528031,37.20,42,12,2,1,1,1,3,3,3,3,1,NaN,4,5,NaN,7.00,NaN,NaN,1,2,4124,0,0,2
2,9,5291329,38.00,92,28,1,1,2,1,1,3,2,3,NaN,7.20,1,1,37.00,6.10,1,NaN,2,2,0,0,0,1
1,1,534917,38.2,76,28,3,1,1,1,3,4,1,2,2,NaN,4,4,46,81,1,2,1,1,2112,0,0,2
1,1,530233,37.60,96,48,3,1,4,1,5,3,3,2,3,4.50,4,NaN,45.00,6.80,NaN,NaN,2,1,3207,0,0,2
1,9,5301219,NaN,128,36,3,3,4,2,4,4,3,3,NaN,NaN,4,5,53.00,7.80,3,4.70,2,2,1400,0,0,1
2,1,526639,37.50,48,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,0,0,0,2
1,1,5290481,37.60,64,21,1,1,2,1,2,3,1,1,1,NaN,2,5,40.00,7.00,1,NaN,1,1,4205,0,0,1
2,1,532110,39.4,110,35,4,3,6,NaN,NaN,3,3,NaN,NaN,NaN,NaN,NaN,55,8.7,NaN,NaN,1,2,0,0,0,2
1,1,530157,39.90,72,60,1,1,5,2,5,4,4,3,1,NaN,4,4,46.00,6.10,2,NaN,1,1,2111,0,0,2
2,1,529340,38.40,48,16,1,NaN,1,1,1,3,1,2,3,5.50,4,3,49.00,6.80,NaN,NaN,1,2,0,0,0,2
1,1,521681,38.60,42,34,2,1,4,NaN,2,3,1,NaN,NaN,NaN,1,NaN,48.00,7.20,NaN,NaN,1,1,3111,0,0,2
1,9,534998,38.3,130,60,NaN,3,NaN,1,2,4,NaN,NaN,NaN,NaN,NaN,NaN,50,70,NaN,NaN,1,1,3111,0,0,2
1,1,533692,38.1,60,12,3,3,3,1,NaN,4,3,3,2,2,NaN,NaN,51,65,NaN,NaN,1,1,3111,0,0,2
2,1,529518,37.80,60,42,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,0,0,0,2
1,1,530526,38.30,72,30,4,3,3,2,3,3,3,2,1,NaN,3,5,43.00,7.00,2,3.90,1,1,3111,0,0,1
1,1,528653,37.80,48,12,3,1,1,1,NaN,3,2,1,1,NaN,1,3,37.00,5.50,2,1.30,1,2,4122,0,0,1
1,1,5279442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2,4300,0,0,2
2,1,535415,37.7,48,NaN,2,1,1,1,1,1,1,1,1,NaN,NaN,NaN,45,76,NaN,NaN,1,2,0,0,0,2
2,1,529475,37.70,96,30,3,3,4,2,5,4,4,3,2,4.00,4,5,66.00,7.50,NaN,NaN,2,1,4205,0,0,2
2,1,530242,37.20,108,12,3,3,4,2,2,4,2,NaN,3,6.00,3,3,52.00,8.20,3,7.40,3,1,2207,0,0,1
1,1,529427,37.20,60,NaN,2,1,1,1,3,3,3,2,1,NaN,4,5,43.00,6.60,NaN,NaN,1,1,2209,0,0,2
1,1,529663,38.20,64,28,1,1,1,1,3,1,NaN,NaN,NaN,NaN,4,4,49.00,8.60,2,6.60,1,1,2208,0,0,1
1,1,529796,NaN,100,30,3,3,4,2,5,4,4,3,3,NaN,4,4,52.00,6.60,NaN,NaN,1,1,1124,0,0,2
2,1,528812,NaN,104,24,4,3,3,2,4,4,3,NaN,3,NaN,NaN,2,73.00,8.40,NaN,NaN,3,1,7111,0,0,2
2,1,529493,38.30,112,16,NaN,3,5,2,NaN,NaN,1,1,2,NaN,NaN,5,51.00,6.00,2,1.00,3,2,5205,0,0,1
1,1,533847,37.8,72,NaN,NaN,3,NaN,1,5,3,1,NaN,1,NaN,1,1,56,80,1,2,1,1,3111,0,0,2
2,1,528996,38.60,52,NaN,1,1,1,1,3,3,2,1,1,NaN,1,3,32.00,6.60,1,5.00,1,2,0,0,0,1
1,9,5277409,39.20,146,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,1,2113,0,0,2
1,1,529498,NaN,88,NaN,3,3,6,2,5,3,3,1,3,NaN,4,5,63.00,6.50,3,NaN,2,1,4205,0,0,2
2,9,5288249,39.00,150,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.00,8.50,NaN,0.10,1,1,9400,0,0,1
2,1,530301,38.00,60,12,3,1,3,1,3,3,1,1,1,NaN,2,2,47.00,7.00,NaN,NaN,1,2,3111,0,0,2
1,1,534069,NaN,120,NaN,3,4,4,1,4,4,4,1,1,NaN,NaN,5,52,67,2,2,3,1,3205,0,0,2
1,1,535407,35.4,140,24,3,3,4,2,4,4,NaN,2,1,NaN,NaN,5,57,69,3,2,3,1,3205,0,0,2
2,1,529827,NaN,120,NaN,4,3,4,2,5,4,4,1,1,NaN,4,5,60.00,6.50,3,NaN,2,1,3205,0,0,2
1,1,529888,37.90,60,15,3,NaN,4,2,5,4,4,2,2,NaN,4,5,65.00,7.50,NaN,NaN,1,1,2305,0,0,1
